"","dateloc","winddir_met","windkno_met","dewpntt_met","tempera_met","timeloc_met","n_records_met","preshPa_upp","winddir_upp","windkno_upp","windkno_upp_rnd"
"1","2000-08-02",120,5.939527,5.939527,5.939527,"13:00",10,906,NA,NA,NA
"2","2000-08-03",130,11.339097,11.339097,11.339097,"13:00",19,910,110,25.1,25
"3","2000-08-11",40,8.099355,8.099355,8.099355,"14:00",18,910,135,25.1,25
"4","2000-08-13",130,9.179269,9.179269,9.179269,"13:00",14,891,300,15.9,16
"5","2000-08-16",280,16.738667,16.738667,16.738667,"15:00",19,896,135,18.9,19
"6","2000-08-18",230,9.179269,9.179269,9.179269,"09:00",14,910,205,8,8
"7","2000-08-20",290,16.19871,16.19871,16.19871,"15:54",7,910,210,20,20
"8","2000-08-22",30,8.099355,8.099355,8.099355,"11:30",9,896,310,28.2,28
"9","2000-08-24",280,15.118796,15.118796,15.118796,"16:30",20,910,270,23.9,24
"10","2000-08-25",290,16.19871,16.19871,16.19871,"14:30",21,910,280,20,20
"11","2000-08-26",270,17.818581,17.818581,17.818581,"15:00",20,910,295,13,13
"12","2000-08-27",40,9.179269,9.179269,9.179269,"12:00",13,897,305,47.2,47
"13","2000-08-28",280,22.678194,22.678194,22.678194,"12:30",25,897,250,40.6,41
"14","2000-08-29",270,21.058323,21.058323,21.058323,"16:00",24,901,230,28.2,28
"15","2000-08-30",280,16.19871,16.19871,16.19871,"15:00",20,910,275,25.1,25
"16","2000-08-31",30,5.939527,5.939527,5.939527,"11:30",15,925,NA,NA,NA
"17","2000-09-01",50,8.099355,8.099355,8.099355,"13:00",16,902,250,45.7,46
"18","2000-09-02",270,18.898495,18.898495,18.898495,"18:00",30,898,155,1.6,2
"19","2000-09-03",10,2.699785,2.699785,2.699785,"11:00",19,895,180,15.2,15
"20","2000-09-04",110,5.939527,5.939527,5.939527,"10:30",14,922,NA,NA,NA
"21","2000-09-08",270,15.118796,15.118796,15.118796,"16:56",23,903,255,21.2,21
"22","2000-09-09",260,21.058323,21.058323,21.058323,"14:30",14,910,245,11.1,11
"23","2000-09-11",210,7.019441,7.019441,7.019441,"09:00",7,904,225,10.3,10
"24","2000-09-12",20,9.179269,9.179269,9.179269,"13:00",15,898,135,12.8,13
"25","2000-09-14",350,7.019441,7.019441,7.019441,"11:00",12,907,NA,NA,NA
"26","2000-10-01",240,14.038882,14.038882,14.038882,"17:00",7,910,135,13,13
"27","2000-10-12",100,8.099355,8.099355,8.099355,"17:00",20,910,15,12.1,12
"28","2000-10-15",120,5.939527,5.939527,5.939527,"10:00",13,910,140,5.1,5
"29","2000-10-19",20,8.099355,8.099355,8.099355,"10:30",6,907,NA,NA,NA
"30","2001-08-03",90,7.019441,7.019441,7.019441,"16:30",8,879,NA,NA,NA
"31","2001-08-07",230,7.019441,7.019441,7.019441,"10:30",20,895,255,23.1,23
"32","2001-08-08",10,5.939527,5.939527,5.939527,"11:00",11,892,185,15.7,16
"33","2001-08-09",230,4.859613,4.859613,4.859613,"13:00",20,910,315,7,7
"34","2001-08-10",220,7.019441,7.019441,7.019441,"09:30",15,903,NA,NA,NA
"35","2001-08-11",20,9.179269,9.179269,9.179269,"14:00",15,912,NA,NA,NA
"36","2001-08-12",40,7.019441,7.019441,7.019441,"15:30",14,896,135,10.1,10
"37","2001-08-13",120,7.019441,7.019441,7.019441,"13:00",14,910,140,28,28
"38","2001-08-14",130,9.719226,9.719226,9.719226,"12:30",8,910,100,14,14
"39","2001-08-16",10,11.339097,11.339097,11.339097,"12:30",7,910,255,29,29
"40","2001-08-17",250,15.118796,15.118796,15.118796,"17:00",23,910,235,21,21
"41","2001-08-18",270,16.738667,16.738667,16.738667,"14:30",22,899,220,9.3,9
"42","2001-08-19",300,9.179269,9.179269,9.179269,"13:00",19,910,245,25.1,25
"43","2001-08-20",270,14.038882,14.038882,14.038882,"14:30",20,891,245,22.4,22
"44","2001-08-21",280,11.879054,11.879054,11.879054,"11:30",20,910,270,20,20
"45","2001-08-22",270,15.118796,15.118796,15.118796,"16:30",25,910,225,15.9,16
"46","2001-08-25",20,8.099355,8.099355,8.099355,"12:30",7,910,340,25.1,25
"47","2001-08-27",280,16.19871,16.19871,16.19871,"15:30",21,910,245,36,36
"48","2001-08-28",240,22.138237,22.138237,22.138237,"10:12",25,910,245,26,26
"49","2001-08-29",260,17.818581,17.818581,17.818581,"15:30",24,910,210,15,15
"50","2001-08-30",220,9.179269,9.179269,9.179269,"13:00",16,908,NA,NA,NA
"51","2001-08-31",80,5.939527,5.939527,5.939527,"09:30",8,886,NA,NA,NA
"52","2001-09-02",320,11.339097,11.339097,11.339097,"13:00",15,902,260,28.6,29
"53","2001-09-03",260,16.738667,16.738667,16.738667,"12:00",20,900,235,10.3,10
"54","2001-09-04",250,12.958968,12.958968,12.958968,"16:30",18,910,255,11.1,11
"55","2001-09-05",190,4.859613,4.859613,4.859613,"13:00",20,910,155,19,19
"56","2001-09-06",160,7.019441,7.019441,7.019441,"10:30",8,910,90,9.9,10
"57","2001-09-09",270,14.038882,14.038882,14.038882,"15:00",20,900,100,9.5,10
"58","2001-09-10",200,7.019441,7.019441,7.019441,"09:30",11,908,55,9.7,10
"59","2001-09-13",240,11.339097,11.339097,11.339097,"16:30",19,879,NA,NA,NA
"60","2001-09-24",70,9.719226,9.719226,9.719226,"15:30",5,893,10,16.5,16
"61","2001-09-26",230,12.958968,12.958968,12.958968,"15:00",9,910,150,9.9,10
"62","2001-09-28",110,9.719226,9.719226,9.719226,"11:00",8,910,140,14,14
"63","2001-10-07",260,18.898495,18.898495,18.898495,"16:30",17,903,255,19.4,19
"64","2001-10-08",240,15.118796,15.118796,15.118796,"15:25",23,910,10,2.9,3
"65","2001-10-14",250,12.958968,12.958968,12.958968,"18:00",10,896,110,9.5,10
"66","2001-10-21",90,9.179269,9.179269,9.179269,"15:30",14,902,NA,NA,NA
"67","2001-10-22",70,9.719226,9.719226,9.719226,"16:00",5,910,115,7,7
"68","2001-10-23",40,9.179269,9.179269,9.179269,"12:30",5,900,350,11.5,12
"69","2001-10-27",280,12.958968,12.958968,12.958968,"17:00",15,900,240,8.6,9
"70","2001-10-28",250,5.939527,5.939527,5.939527,"09:30",15,910,295,15,15
"71","2001-10-30",290,9.179269,9.179269,9.179269,"17:30",10,897,245,6.2,6
"72","2001-10-31",270,16.19871,16.19871,16.19871,"13:12",21,925,NA,NA,NA
"73","2001-11-01",170,7.019441,7.019441,7.019441,"09:00",6,901,185,10.1,10
