"","dateloc","winddir_met","windkno_met","dewpntt_met","tempera_met","timeloc_met","n_records_met","preshPa_upp","winddir_upp","windkno_upp","windkno_upp_rnd"
"1","2000-10-01",250,11.339097,11.339097,11.339097,"16:00",5,910,135,13,13
"2","2001-01-27",20,14.038882,14.038882,14.038882,"12:00",5,889,75,4.7,5
"3","2001-01-28",40,8.099355,8.099355,8.099355,"12:30",11,899,120,6,6
"4","2001-01-29",40,9.719226,9.719226,9.719226,"12:00",6,910,105,6,6
"5","2001-10-07",270,16.738667,16.738667,16.738667,"13:05",13,903,255,19.4,19
"6","2001-10-30",270,16.19871,16.19871,16.19871,"15:30",11,897,245,6.2,6
"7","2001-10-31",280,16.19871,16.19871,16.19871,"15:00",16,925,NA,NA,NA
"8","2001-11-02",50,11.879054,11.879054,11.879054,"14:30",9,898,105,15.7,16
"9","2001-12-08",260,16.19871,16.19871,16.19871,"14:00",9,910,90,7,7
"10","2001-12-24",20,16.738667,16.738667,16.738667,"12:00",14,892,260,10.5,10
"11","2001-12-25",30,11.339097,11.339097,11.339097,"12:00",16,910,285,11.1,11
"12","2001-12-26",20,11.339097,11.339097,11.339097,"11:30",17,910,205,11.1,11
"13","2002-01-02",20,15.118796,15.118796,15.118796,"12:30",10,910,215,9.9,10
"14","2002-01-07",350,9.719226,9.719226,9.719226,"11:00",5,893,260,20,20
"15","2002-01-08",340,11.339097,11.339097,11.339097,"14:00",19,910,210,13,13
"16","2002-01-09",210,8.099355,8.099355,8.099355,"10:00",10,907,10,2.5,2
"17","2002-01-12",30,9.179269,9.179269,9.179269,"13:30",19,901,325,7.6,8
"18","2002-02-09",250,18.898495,18.898495,18.898495,"15:00",20,894,185,3.1,3
"19","2002-02-10",30,9.719226,9.719226,9.719226,"14:00",11,910,305,11.1,11
"20","2002-02-11",50,8.099355,8.099355,8.099355,"13:30",10,899,140,17.3,17
"21","2002-02-22",20,14.038882,14.038882,14.038882,"11:30",6,910,105,25.1,25
"22","2002-12-05",290,7.019441,7.019441,7.019441,"11:00",15,893,250,14,14
"23","2002-12-06",280,19.978409,19.978409,19.978409,"14:00",24,910,110,18.1,18
"24","2003-09-10",270,15.118796,15.118796,15.118796,"16:00",5,900,NA,NA,NA
"25","2003-09-13",330,14.038882,14.038882,14.038882,"12:30",13,910,250,16.9,17
"26","2003-09-27",350,4.859613,4.859613,4.859613,"15:26",5,896,140,12.1,12
"27","2003-10-22",50,9.179269,9.179269,9.179269,"13:00",6,899,280,6.2,6
"28","2003-10-29",270,24.838022,24.838022,24.838022,"14:00",20,910,210,8.9,9
"29","2003-12-26",30,12.958968,12.958968,12.958968,"11:00",7,910,245,14,14
"30","2004-01-08",10,16.738667,16.738667,16.738667,"12:00",12,898,130,30.5,30
"31","2004-01-18",160,7.019441,7.019441,7.019441,"10:00",11,903,120,28,28
"32","2004-01-29",220,11.879054,11.879054,11.879054,"13:30",10,892,275,18.9,19
"33","2004-01-31",270,14.038882,14.038882,14.038882,"14:30",19,910,250,15.9,16
"34","2004-02-01",270,12.958968,12.958968,12.958968,"15:30",17,910,25,18.1,18
"35","2004-02-12",30,9.719226,9.719226,9.719226,"11:00",5,910,230,8,8
"36","2004-02-13",10,14.038882,14.038882,14.038882,"13:00",6,905,155,4.1,4
"37","2004-02-14",70,9.179269,9.179269,9.179269,"14:00",7,910,160,6,6
"38","2004-02-15",90,7.019441,7.019441,7.019441,"13:00",13,900,NA,NA,NA
"39","2004-02-16",20,5.939527,5.939527,5.939527,"10:30",15,896,135,17.9,18
"40","2004-02-19",20,15.118796,15.118796,15.118796,"13:00",14,903,155,9.7,10
"41","2004-02-20",60,9.179269,9.179269,9.179269,"12:00",13,904,260,28,28
"42","2004-02-21",20,16.19871,16.19871,16.19871,"14:00",18,892,250,21.2,21
"43","2004-02-23",30,8.099355,8.099355,8.099355,"13:30",9,893,75,13,13
"44","2004-02-25",360,7.019441,7.019441,7.019441,"13:00",6,896,170,11.5,12
"45","2004-10-08",230,19.978409,19.978409,19.978409,"14:24",7,910,90,4.1,4
"46","2004-11-12",270,11.339097,11.339097,11.339097,"14:30",14,897,295,19.2,19
"47","2004-12-14",20,9.179269,9.179269,9.179269,"12:00",10,907,170,10.5,10
"48","2004-12-20",30,12.958968,12.958968,12.958968,"13:30",7,895,95,15.7,16
"49","2005-01-16",40,11.339097,11.339097,11.339097,"14:00",9,899,145,4.5,4
"50","2005-01-23",20,14.038882,14.038882,14.038882,"13:30",6,910,100,16.9,17
"51","2005-02-05",30,11.339097,11.339097,11.339097,"13:30",7,899,240,6.2,6
"52","2005-02-06",40,11.339097,11.339097,11.339097,"14:30",10,902,305,3.5,4
"53","2005-02-07",50,9.719226,9.719226,9.719226,"14:30",5,893,320,14.6,15
"54","2005-02-09",290,9.179269,9.179269,9.179269,"15:00",7,891,285,27.2,27
"55","2005-12-14",220,8.099355,8.099355,8.099355,"10:30",11,910,120,19,19
"56","2005-12-17",20,15.118796,15.118796,15.118796,"14:00",9,910,220,22,22
"57","2005-12-18",40,7.019441,7.019441,7.019441,"14:00",16,903,250,10.3,10
"58","2005-12-19",50,5.939527,5.939527,5.939527,"15:00",7,910,350,3.1,3
"59","2005-12-25",20,15.118796,15.118796,15.118796,"12:30",8,898,240,7.6,8
"60","2005-12-28",360,11.339097,11.339097,11.339097,"10:00",7,891,265,15.9,16
"61","2005-12-29",200,8.099355,8.099355,8.099355,"13:00",15,910,315,8.9,9
"62","2005-12-30",50,11.879054,11.879054,11.879054,"13:00",10,910,90,4.3,4
"63","2006-01-02",20,15.118796,15.118796,15.118796,"12:00",8,907,320,10.3,10
"64","2006-01-18",40,11.879054,11.879054,11.879054,"13:00",6,900,150,5.1,5
"65","2006-02-04",70,9.719226,9.719226,9.719226,"13:30",9,910,130,16.9,17
"66","2006-02-10",40,11.879054,11.879054,11.879054,"14:00",5,899,340,10.7,11
"67","2006-02-14",20,9.719226,9.719226,9.719226,"12:00",11,898,45,12.2,12
"68","2006-02-19",30,9.179269,9.179269,9.179269,"12:00",7,900,90,7.2,7
"69","2007-01-23",30,9.179269,9.179269,9.179269,"10:30",6,910,300,7,7
"70","2007-01-24",20,15.118796,15.118796,15.118796,"13:00",7,910,265,8,8
"71","2007-01-29",50,12.958968,12.958968,12.958968,"13:30",7,910,10,9.9,10
"72","2007-09-17",260,18.898495,18.898495,18.898495,"13:30",6,909,120,11.7,12
"73","2008-02-07",50,8.099355,8.099355,8.099355,"15:00",6,900,130,17.9,18
"74","2008-02-23",40,8.099355,8.099355,8.099355,"14:00",13,894,55,1.9,2
"75","2008-11-21",290,11.339097,11.339097,11.339097,"14:00",8,910,290,22.9,23
"76","2008-11-22",300,21.058323,21.058323,21.058323,"13:00",16,910,260,22,22
"77","2009-01-01",30,16.738667,16.738667,16.738667,"12:30",5,910,215,16.9,17
"78","2009-02-09",40,14.038882,14.038882,14.038882,"14:00",10,905,30,3.3,3
"79","2009-08-25",30,15.118796,15.118796,15.118796,"13:00",7,910,240,21,21
"80","2009-10-03",270,15.118796,15.118796,15.118796,"14:30",18,910,145,12.1,12
"81","2009-10-14",320,22.138237,22.138237,22.138237,"13:41",18,910,285,9.9,10
"82","2009-11-29",20,17.818581,17.818581,17.818581,"10:30",5,907,225,11.9,12
"83","2010-01-18",40,7.019441,7.019441,7.019441,"10:00",11,906,200,3.7,4
"84","2010-01-25",30,9.719226,9.719226,9.719226,"11:30",5,899,10,15.2,15
"85","2010-01-27",60,11.339097,11.339097,11.339097,"12:00",6,910,310,5.1,5
"86","2010-01-28",40,11.879054,11.879054,11.879054,"14:00",11,910,345,10.1,10
"87","2010-02-23",30,9.719226,9.719226,9.719226,"13:30",8,910,135,19,19
"88","2011-01-18",230,8.099355,8.099355,8.099355,"10:00",10,910,135,5.1,5
"89","2011-02-05",20,15.118796,15.118796,15.118796,"12:00",7,892,340,13.8,14
"90","2011-02-20",30,9.719226,9.719226,9.719226,"12:30",9,925,NA,NA,NA
"91","2011-02-21",40,11.339097,11.339097,11.339097,"13:30",11,901,NA,NA,NA
"92","2011-12-12",260,11.879054,11.879054,11.879054,"16:00",7,894,220,16.9,17
"93","2012-01-11",70,9.179269,9.179269,9.179269,"12:30",16,904,170,12.8,13
"94","2012-12-05",260,15.118796,15.118796,15.118796,"14:56",20,900,145,6.8,7
"95","2012-12-18",50,9.719226,9.719226,9.719226,"12:30",6,910,5,7,7
"96","2013-01-02",30,11.879054,11.879054,11.879054,"14:30",8,910,140,18.1,18
"97","2013-01-10",30,11.879054,11.879054,11.879054,"14:00",6,892,355,9.3,9
"98","2013-01-11",10,16.19871,16.19871,16.19871,"14:00",7,892,335,9.9,10
"99","2013-01-12",30,16.738667,16.738667,16.738667,"12:00",6,902,325,5.4,5
"100","2013-01-13",20,16.738667,16.738667,16.738667,"11:30",7,901,260,15,15
"101","2013-01-19",20,16.738667,16.738667,16.738667,"12:00",7,893,95,9.3,9
"102","2013-01-29",30,9.719226,9.719226,9.719226,"12:00",7,922,NA,NA,NA
"103","2013-02-02",260,16.19871,16.19871,16.19871,"13:19",9,891,225,3.5,4
"104","2013-10-03",260,15.118796,15.118796,15.118796,"14:00",12,908,150,12.6,13
"105","2013-12-29",20,12.958968,12.958968,12.958968,"10:00",5,910,135,8,8
"106","2014-01-04",30,16.738667,16.738667,16.738667,"12:00",14,897,115,13.4,13
"107","2014-01-06",30,15.118796,15.118796,15.118796,"12:00",6,900,130,22,22
