"","dateloc","winddir_met","windkno_met","timeloc_met","n_records_met","preshPa_upp","winddir_upp","windkno_upp","windkno_upp_rnd"
"1","2000-08-11",230,9.179269,"09:30",5,910,135,25.1,25
"2","2000-08-16",270,17.818581,"15:30",16,896,135,18.9,19
"3","2000-08-20",290,16.19871,"15:54",6,910,210,20,20
"4","2000-08-24",260,15.118796,"09:30",20,910,270,23.9,24
"5","2000-08-25",290,22.138237,"10:30",21,910,280,20,20
"6","2000-08-26",280,21.058323,"14:00",16,910,295,13,13
"7","2000-08-28",250,25.917936,"15:56",22,897,250,40.6,41
"8","2000-08-29",270,24.838022,"12:00",24,901,230,28.2,28
"9","2000-08-30",290,16.19871,"14:00",19,910,275,25.1,25
"10","2000-09-02",270,30.777549,"12:54",30,898,155,1.6,2
"11","2000-09-08",270,22.138237,"10:00",23,903,255,21.2,21
"12","2000-09-09",260,21.058323,"14:30",9,910,245,11.1,11
"13","2000-10-01",240,14.038882,"17:00",6,910,135,13,13
"14","2001-08-17",260,19.978409,"12:30",21,910,235,21,21
"15","2001-08-18",270,18.898495,"15:17",22,899,220,9.3,9
"16","2001-08-19",300,9.179269,"13:00",6,910,245,25.1,25
"17","2001-08-20",240,17.818581,"11:00",18,891,245,22.4,22
"18","2001-08-21",250,16.19871,"12:00",18,910,270,20,20
"19","2001-08-22",260,21.058323,"12:15",25,910,225,15.9,16
"20","2001-08-27",260,19.978409,"12:30",21,910,245,36,36
"21","2001-08-28",270,26.99785,"11:39",25,910,245,26,26
"22","2001-08-29",250,22.678194,"10:38",24,910,210,15,15
"23","2001-09-03",260,19.978409,"11:00",20,900,235,10.3,10
"24","2001-09-04",260,12.958968,"16:00",9,910,255,11.1,11
"25","2001-09-09",260,15.118796,"10:00",19,900,100,9.5,10
"26","2001-09-13",290,14.038882,"11:00",18,879,NA,NA,NA
"27","2001-09-26",240,12.958968,"14:00",12,910,150,9.9,10
"28","2001-10-07",280,18.898495,"14:00",15,903,255,19.4,19
"29","2001-10-08",250,16.738667,"12:13",16,910,10,2.9,3
"30","2001-10-14",250,22.138237,"15:48",16,896,110,9.5,10
"31","2001-10-27",240,16.738667,"15:00",17,900,240,8.6,9
"32","2001-10-30",270,16.19871,"15:30",10,897,245,6.2,6
"33","2001-10-31",270,19.978409,"16:00",17,925,NA,NA,NA
"34","2001-11-19",270,16.738667,"17:00",11,910,215,11.1,11
"35","2001-11-20",240,9.179269,"09:00",12,910,270,6,6
"36","2001-11-21",250,11.879054,"15:00",6,910,240,4.1,4
"37","2001-12-08",260,16.19871,"14:00",7,910,90,7,7
"38","2002-02-09",240,22.138237,"13:00",22,894,185,3.1,3
"39","2002-08-04",280,18.898495,"11:00",20,910,80,5.1,5
"40","2002-08-13",270,16.738667,"10:30",18,895,95,6.8,7
"41","2002-08-23",240,12.958968,"10:00",7,904,135,31.9,32
"42","2002-09-01",270,21.058323,"16:24",11,910,105,9.9,10
"43","2002-09-10",240,12.958968,"11:30",6,910,170,9.9,10
"44","2002-09-18",270,22.678194,"15:30",21,891,245,41,41
"45","2002-09-19",270,26.99785,"10:26",22,910,125,22,22
"46","2002-09-29",230,11.879054,"11:00",12,905,170,12.4,12
"47","2002-10-15",230,12.958968,"10:00",6,910,110,4.1,4
"48","2002-10-24",250,14.038882,"09:00",16,910,345,12.1,12
"49","2002-12-05",270,9.719226,"10:00",5,893,250,14,14
"50","2002-12-06",270,22.678194,"13:30",25,910,110,18.1,18
"51","2002-12-11",270,28.077764,"10:00",25,910,195,12.1,12
"52","2003-02-22",320,8.099355,"09:00",5,895,275,5.2,5
"53","2003-08-05",250,8.099355,"10:00",5,905,300,21.2,21
"54","2003-08-09",240,12.958968,"12:30",11,898,135,5.4,5
"55","2003-08-14",240,15.118796,"16:00",12,910,115,21,21
"56","2003-08-24",260,12.958968,"09:00",9,892,NA,NA,NA
"57","2003-08-25",230,14.038882,"11:30",17,910,200,16.9,17
"58","2003-08-27",230,16.19871,"11:51",11,910,130,20,20
"59","2003-09-10",250,15.118796,"15:30",7,900,NA,NA,NA
"60","2003-09-13",290,17.818581,"16:30",17,910,250,16.9,17
"61","2003-09-14",250,14.038882,"10:00",8,901,255,29.9,30
"62","2003-09-15",280,23.758108,"10:03",25,910,240,20,20
"63","2003-09-16",250,26.99785,"13:00",26,890,NA,NA,NA
"64","2003-09-27",270,19.978409,"17:00",7,896,140,12.1,12
"65","2003-10-02",250,19.978409,"18:45",6,910,250,15.9,16
"66","2003-10-03",230,15.118796,"14:00",6,893,125,12.1,12
"67","2003-10-29",270,28.077764,"13:00",21,910,210,8.9,9
"68","2003-11-01",250,23.758108,"13:00",24,910,300,9.9,10
"69","2003-11-02",240,22.138237,"15:48",20,910,160,11.1,11
"70","2003-12-06",230,19.978409,"13:43",7,905,NA,NA,NA
"71","2004-01-17",260,22.138237,"12:52",10,910,140,14,14
"72","2004-01-30",260,28.077764,"16:35",6,899,290,20.4,20
"73","2004-01-31",270,17.818581,"15:30",15,910,250,15.9,16
"74","2004-02-01",270,15.118796,"14:30",15,910,25,18.1,18
"75","2004-08-04",240,23.758108,"13:14",23,910,260,22.9,23
"76","2004-08-06",230,11.339097,"09:00",6,892,355,9.7,10
"77","2004-08-08",260,16.19871,"15:30",15,910,195,22.9,23
"78","2004-08-09",230,15.118796,"10:30",8,896,270,6.8,7
"79","2004-08-10",270,15.118796,"14:00",18,910,110,15.9,16
"80","2004-08-14",290,25.917936,"15:57",26,910,225,28,28
"81","2004-08-15",240,19.978409,"13:00",17,910,135,25.1,25
"82","2004-08-18",260,22.138237,"13:54",21,903,165,30.5,30
"83","2004-08-31",240,16.738667,"09:46",16,903,295,4.1,4
"84","2004-09-01",240,9.719226,"09:00",7,910,160,19,19
"85","2004-09-12",250,21.058323,"12:30",20,895,160,16.1,16
"86","2004-10-02",260,22.138237,"14:30",19,910,195,5.1,5
"87","2004-10-08",260,28.077764,"14:43",6,910,90,4.1,4
"88","2004-10-21",240,17.818581,"14:30",11,910,280,14,14
"89","2004-11-12",310,15.118796,"09:00",13,897,295,19.2,19
"90","2004-12-28",250,17.818581,"13:00",16,908,230,10.5,10
"91","2004-12-29",250,9.179269,"12:30",5,910,185,15.9,16
"92","2005-02-09",230,17.818581,"15:27",9,891,285,27.2,27
"93","2005-08-10",330,12.958968,"15:30",9,910,210,9.9,10
"94","2005-08-11",270,15.118796,"13:00",10,894,285,19.4,19
"95","2005-08-12",230,11.339097,"09:00",10,910,170,32.1,32
"96","2005-08-22",250,14.038882,"17:00",18,905,155,8.4,8
"97","2005-09-12",290,21.058323,"11:23",21,904,205,14,14
"98","2005-09-13",280,9.179269,"10:30",5,910,245,14,14
"99","2005-09-14",230,16.738667,"12:30",14,908,270,9.3,9
"100","2005-09-17",250,30.777549,"10:30",24,902,240,27.8,28
"101","2005-09-18",250,16.738667,"10:00",20,900,20,6,6
"102","2005-10-09",240,17.818581,"09:30",20,896,270,4.9,5
"103","2005-12-03",250,15.118796,"11:00",20,894,245,8.9,9
"104","2005-12-18",240,17.818581,"17:00",14,903,250,10.3,10
"105","2005-12-19",250,14.038882,"09:30",8,910,350,3.1,3
"106","2005-12-29",260,9.719226,"10:00",8,910,315,8.9,9
"107","2006-08-01",230,9.179269,"11:00",5,892,10,9.9,10
"108","2006-08-03",230,11.339097,"12:30",5,910,210,14,14
"109","2006-09-07",260,26.99785,"10:00",31,907,195,12.2,12
"110","2006-11-16",250,29.157678,"09:00",26,909,200,19.4,19
"111","2006-12-26",230,9.179269,"09:30",5,910,110,16.9,17
"112","2007-08-03",330,15.118796,"10:30",6,910,230,15.9,16
"113","2007-08-04",230,14.038882,"09:00",9,899,205,17.3,17
"114","2007-08-05",250,12.958968,"14:00",15,892,195,6.4,6
"115","2007-08-06",230,9.179269,"09:30",5,910,75,5.1,5
"116","2007-08-10",250,16.19871,"12:26",8,897,240,27.6,28
"117","2007-08-20",230,16.738667,"12:30",6,910,120,14,14
"118","2007-09-17",270,22.138237,"14:00",14,909,120,11.7,12
"119","2007-09-20",250,22.138237,"18:30",15,895,155,13.8,14
"120","2007-10-13",230,16.19871,"09:00",8,905,0,0,0
"121","2007-12-23",330,11.339097,"11:30",5,910,145,15,15
"122","2008-08-02",260,15.118796,"10:30",20,897,25,9.9,10
"123","2008-08-06",250,15.118796,"11:30",20,910,235,8,8
"124","2008-08-07",270,11.339097,"14:00",8,900,220,26,26
"125","2008-08-08",270,14.038882,"13:00",20,897,140,8,8
"126","2008-08-10",270,11.879054,"12:30",9,902,220,18.7,19
"127","2008-08-11",270,16.19871,"14:00",19,903,190,10.1,10
"128","2008-08-13",240,9.719226,"10:30",5,904,235,1.9,2
"129","2008-08-14",230,14.038882,"09:30",17,900,215,16.5,16
"130","2008-08-16",270,19.978409,"18:00",21,920,190,16.7,17
"131","2008-08-23",250,17.818581,"10:00",12,910,155,15,15
"132","2008-09-06",250,24.838022,"15:00",20,906,0,0,0
"133","2008-10-06",250,18.898495,"17:34",5,910,140,7,7
"134","2008-11-21",280,14.038882,"13:00",5,910,290,22.9,23
"135","2008-11-22",300,21.058323,"13:00",20,910,260,22,22
"136","2008-11-23",250,26.99785,"14:49",29,910,270,8,8
